,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66,S67,S68,S69,S70,S71,S72,S73,S74
0,0.0,1.1042936481834098,-0.9641813708239524,-0.998786262964356,-0.983078412541522,-0.9610710296749906,0.11928466629131478,-0.9614333431203002,13.87225843171447,-0.0853482498112718,-0.43595149083731954,-0.13093304852928084,-0.2620837373908157,-0.41297204223391754,-0.8773476585498797,45.510817604267245,-0.679538215817421,-0.8183232785066011,-0.3893208339537094,-0.9983740693676438,-0.8970951785608368,6.796717633804658,-0.9956397066285213,-0.940776335043442,-0.998803936701034,-0.9969304052109746,1.6614713249231519,0.6658514892924525,-0.9980364378345843,0.036270050324033104,-0.973864936282549,-0.9459966915202463,-0.9255575066003279,0.01766722969112895,0.016034276065798405,-0.9326809069834375,-0.10060007382190256,-0.07270946414374824,3.9194271425184875,5.258693402636933,5.258693414331508,5.258693414699274,5.258693415506581,5.258693417082707,-0.7767595818668985,-0.7767595814497165,-0.7767595817507874,-0.7767595814079278,-0.7767595813516517,-0.9923924140242532,-0.992392414010037,-0.9923924140130148,-0.9923924140086132,-0.992392414006697,,-0.5838691394619879,-0.9955107236817382,0.0,0.0,0.0,-0.9900477546484834,-0.6159569352605712,1.4982651726252048e-13,5.656772370762233,-0.9978777898484117,0.1955424199845995,-0.994977669276203,-0.9953124849554621,-0.9050836680638298,-0.8895106878134851,52.489476693902596,-0.40287650825924237,-0.9946375482584245,2.151787341985867
1,0.0,0.014402938398783203,-0.0029366646756354966,-0.021018427894861857,-0.015127617121094197,-0.022637559732641983,0.009373054426816624,-0.00891555219832798,0.003475937047928306,-0.0007089365833179026,0.0028235478667282435,-0.0006112376778844582,-0.03609450933062129,-0.049940695764768187,-0.011532290239443172,0.011895475588653998,-0.0033854617570624568,-0.004226185039156609,0.015399221855875196,-0.013926257174535193,0.0017530441810035533,0.0005342105780837687,-0.02320830804995605,0.007007085283072572,-0.022724685875793627,-0.008655164452238686,0.014424601713466104,0.009182856940583252,-0.013764060664150823,0.0008003955672105241,-0.020447305961335087,-0.020875944527580747,-0.024944763817992335,0.00047615071867754613,0.00042499765900542053,-0.024721240944998592,0.0006555437808510837,-0.02695230104321915,-0.025385141190766587,0.0031529326214833845,0.003152933749036128,0.0031529336903769363,0.0031529333446930208,0.0031529340137084663,0.000227665279801409,0.00022766640394367534,0.00022766634545162153,0.00022766600080617396,0.00022766666796943008,-0.017908441798309676,-0.017908440694627843,-0.017908440752405424,-0.01790844109048056,-0.017908440435663718,,-0.0076143020203282025,-1.1125539976101038,0.0,0.0,0.0,-1.4788946824194082,-0.01494955872331265,1.4982651726252048e-13,0.017975057066732872,-0.03372726944205656,0.009059389168931209,-0.042359362218811564,-0.03861668375196735,-0.031237327051227174,0.0182180115370581,0.05258435211582916,0.012077490130498685,0.003986561343251562,0.04002340165724272
2,0.0,0.015318767790102012,0.002984680088914978,-0.01612968717348488,-0.015908090969723572,-0.023220404849515045,0.0102386064339935,-0.009011657373270563,-0.002019908588438408,-0.0007434314294817859,0.002993222472999127,-0.0006342331443521057,-0.01786653690605344,-0.036479618916509464,-0.016138736799460148,0.011230594054709197,-0.003506526998710202,-0.00439003485458767,0.016093762714476222,-0.013246564370395652,-0.00041196984268634885,-0.004441018229481289,-0.023352366039243067,0.008681666366413952,-0.021552599106667358,-0.008202867220903187,0.013670808245260532,0.008705298803534763,-0.013048254234167686,0.0008324838978480761,-0.020967432775265884,-0.021712873462847657,-0.025697264666251652,0.0004905146077219028,0.0004376490962909419,-0.0254571490691075,0.0006948387040869683,-0.02789387190153995,-0.02691060278727707,-0.001972708011417245,-0.0019727068472506263,-0.001972706842513884,-0.001972706953861068,-0.00197270655634714,0.0010293426544588744,0.0010293438227721495,0.0010293438268039916,0.0010293437150286236,0.0010293441135663548,-0.01805407378273921,-0.01805407263664922,-0.018054072633019818,-0.01805407274242258,-0.018054072351782677,,-0.0074451535581573245,-1.0251680053443752,0.0,0.0,0.0,-0.9947591001650856,0.02594953832942147,1.4982651726252048e-13,0.018836141705746944,0.00895248901233109,0.05388326598922449,7.319744042043844e-05,0.004178636442751824,0.014064571534043608,0.018495135823432794,0.05536961424658253,0.012436231815860689,0.003403207585144206,0.04202564924636173
3,0.0,0.014021076281353483,0.002736601938389309,-0.014782585267117109,-0.01457782206235122,-0.021293446095534418,0.009377635156635792,-0.008255423979282793,-0.0018521554266825284,-0.0006808989940736963,0.0027454471055432922,-0.0005805958681678045,-0.016248505574102085,-0.033364171878436155,-0.01481599647961636,0.010273044818040793,-0.0032100969510019065,-0.00401947415753252,0.014736076553757782,-0.012128149623825454,-0.0003737553215467905,-0.004248104068695153,-0.021407526016364063,0.00796333821433616,-0.01975327375632737,-0.0075095508394812365,0.012515336493192737,0.007972761272164092,-0.011950263060685565,0.000763369439152953,-0.019220761204514034,-0.019910227789974793,-0.023570202734597374,0.0004499128175488927,0.0004014142718654198,-0.023349443756789635,0.000637321478149428,-0.025589594214004762,-0.0246829753526619,-0.0018092490102374608,-0.001809248199123474,-0.0018092482395015825,-0.0018092480324088103,-0.0018092479959105191,0.0009437241878017353,0.0009437250017828385,0.0009437249603157728,0.0009437251679897477,0.000943725204803452,-0.016549937534377272,-0.016549936734679235,-0.016549936775681,-0.016549936571253334,-0.016549936535408358,,-0.006817949710490765,-1.024660923641282,0.0,0.0,0.0,-1.121602010232424,0.023714106427558366,1.4982651726252048e-13,0.01723593998241823,0.00818054127234927,0.049216680522244545,4.331153226382133e-05,0.0038082266395646626,0.012835022481223432,0.016924382707079782,0.05059506994557388,0.011383297758095452,0.0031153305698312012,0.03842112893461953
4,0.0,0.012728924635681146,0.002493992896813546,-0.013432668738317388,-0.013249894628829636,-0.019368119566960423,0.008519503934534992,-0.00750095875982967,-0.0016894136075433295,-0.0006185496138200791,0.0024979389165022893,-0.0005271781297038969,-0.014776032629130544,-0.030362520125617812,-0.013467206256314621,0.009317372488007045,-0.0029149566484071745,-0.0036503163144809728,0.01338360736877737,-0.011013380392193727,-0.00034004237193540525,-0.0037689992670776585,-0.019464701589497695,0.0072463463779040465,-0.017956875776613382,-0.006818970156366247,0.011364423622379983,0.00724247286152808,-0.01085564039049623,0.0006943150303927124,-0.01747671799548554,-0.018109148341550873,-0.021444158905963826,0.0004093304610822358,0.00036519809500343514,-0.021242823127827694,0.0005798659848325899,-0.023285813225342657,-0.022457749994006966,-0.0016503959215535854,-0.0016503948868883084,-0.0016503948882601014,-0.0016503949133743242,-0.001650394614319514,0.0008588722829191467,0.0008588733208633387,0.0008588733191235837,0.0008588732938912631,0.0008588735937725449,-0.015047104446662985,-0.01504710342538259,-0.015047103427064248,-0.015047103451795125,-0.015047103157103696,,-0.006193016438120057,-0.7924593812564577,0.0,0.0,0.0,-0.874748292142977,0.021523925206891233,0.0,0.015642993811472633,0.007445894928175783,0.04461827867508427,4.795282054608436e-05,0.0034728276585887265,0.011649880555924684,0.015361238269941612,0.045850615811959615,0.010334376881908323,0.0028289776670264426,0.034837749002440944
5,0.0,0.011440036442849093,0.002250121479383488,-0.012083437895084191,-0.011922136344820632,-0.01743975353523206,0.0076622329619560805,-0.0067470153600803886,-0.001525543146175431,-0.0005562708285632333,0.002249881719752311,-0.0004738671666263322,-0.01330250553031307,-0.02735386740054978,-0.012118266569072932,0.008369301706079944,-0.002620361992540106,-0.0032817692687416512,0.012032911113931205,-0.009900596837576603,-0.0003001247216548632,-0.0033952928516956774,-0.017520569082946524,0.006527456965712066,-0.016160074188001736,-0.006129601940260433,0.01021552988249785,0.006513060715478518,-0.009762333543233333,0.000625163412084671,-0.015731118040030967,-0.01630553347092216,-0.019313733194175314,0.0003686644623395154,0.000328908959565437,-0.019131958653668294,0.0005222829702021259,-0.020976392147715083,-0.02022758877051899,-0.0014904139082717567,-0.0014904135007298626,-0.0014904134816384187,-0.0014904131445736663,-0.0014904133889879917,0.0007738118682747714,0.000773812276845468,0.0007738122959360875,0.0007738126334343351,0.0007738123883496511,-0.013543415768329077,-0.01354341536564031,-0.013543415346869045,-0.013543415014213063,-0.013543415255782476,,-0.005569036676036744,-0.21980735288590816,0.0,0.0,0.0,-0.5988991077660805,0.019340193454437486,0.0,0.014054958390509645,0.0067090914276161035,0.04004455785719842,5.136160831042164e-05,0.0031355775884756225,0.010468485058297713,0.013802775308444974,0.041136904752017096,0.00928825550810955,0.0025433177264411093,0.03127297639005584
6,0.0,0.010154737650157893,0.0020050092647090553,-0.010735521578300173,-0.010594988449197594,-0.01550944294785576,0.00680613788784922,-0.00599392639577332,-0.0013605379963066181,-0.0004940857795478767,0.0020014377653029387,-0.00042068729743107737,-0.01182820990975723,-0.024339209799171157,-0.010769821388985048,0.007422455397022775,-0.0023264570991172744,-0.0029139998134326667,0.010685126773803236,-0.008790250562474606,-0.000285284079453452,-0.002678542842634691,-0.01557577441845884,0.0058071950189763355,-0.014363411715217654,-0.005441927306505339,0.009069459909795399,0.005784746780558879,-0.008670676573920623,0.0005559484634125762,-0.013984983756184842,-0.014500266815574116,-0.01718013891472105,0.0003279379813235443,0.0002925675175922929,-0.017018051609880295,0.0004646100736658007,-0.0186626677981193,-0.017993950395265062,-0.0013293013275460165,-0.0013293008635045188,-0.0013293008601966887,-0.0013293005727544399,-0.0013293007601601638,0.000688565690616267,0.0006885661559247091,0.0006885661585558589,0.0006885664472332454,0.0006885662595024239,-0.012039491519093932,-0.012039491059871326,-0.012039491057509144,-0.012039490772031942,-0.012039490957710178,,-0.004946175053174567,-0.08429501036044919,0.0,0.0,-2.9983633697252627e-13,-0.5236061882290753,0.017163484789904055,-1.500298096875714e-13,0.012472326334485029,0.005970586579464533,0.035496220720063996,5.307574404079643e-05,0.002796211634522622,0.009290884473296306,0.012249455135564486,0.036452080381513235,0.00824498650270369,0.002258454754610238,0.027726919461698328
7,0.0,0.008869391250416424,0.0017578741913795808,-0.009385315345393722,-0.009264748401009966,-0.013572101891361425,0.005948869669258811,-0.005239651544754791,-0.0011938447652690958,-0.0004318243312066664,0.0017519420540945464,-0.00036749732656129775,-0.01034891078199633,-0.021310060169813655,-0.009418058902050098,0.006479286324150816,-0.0020324522709028268,-0.0025460241150518674,0.009336269579257829,-0.007679551002851055,-0.0002223792580450753,-0.0026719451125856173,-0.01362516588477682,0.005083830992234933,-0.012562101030335152,-0.004754064397376561,0.007923074398511436,0.005055624098259385,-0.007577805552121696,0.0004864834601112129,-0.012233728847539194,-0.01268847822440755,-0.015037741285211365,0.000287043460204304,0.000256077819231503,-0.014895520797704287,0.00040669293325649726,-0.01633851237167451,-0.015750856193363926,-0.0011665198655795503,-0.0011665198400446575,-0.0011665197952816253,-0.0011665194160810585,-0.0011665197835892698,0.0006028861209492299,0.0006028861471775746,0.0006028861915294872,0.0006028865716280566,0.0006028862031439322,-0.010531202905226487,-0.010531202879241126,-0.010531202835649628,-0.010531202459495256,-0.010531202824171946,,-0.004322478914916767,-0.09560498961158692,0.0,0.0,-2.9983633697252627e-13,-0.6253402907674337,0.014987791815603552,-1.500298096875714e-13,0.010890485490084258,0.005228124710404387,0.030960102181381885,5.247708601979647e-05,0.0024532027442843406,0.008113380468720417,0.010696671483799686,0.031780628606234235,0.007201525698116751,0.0019732035671998016,0.024187669853630467
8,0.0,0.007592176619315561,0.0015106657531290288,-0.008040791248367023,-0.007939666206952694,-0.011639669217552799,0.005095705589676389,-0.004488830426746981,-0.0010268793660424152,-0.00036986754743567043,0.001502949812012043,-0.00031462293009887197,-0.008874514278829166,-0.01828584095083879,-0.008071355468098397,0.005543439790758342,-0.0017401485745721444,-0.0021801019005116317,0.007994778805649243,-0.006574851557416733,-0.00019180597234666106,-0.0022174498617229138,-0.011680607552630293,0.004361551819333446,-0.01076714389211473,-0.004070131114671454,0.006783238202936383,0.004330108979230884,-0.006490343622865674,0.0004171980322039911,-0.010488156497251053,-0.01088137332751443,-0.01289975727344242,0.00024623318710667585,0.00021966495698137742,-0.012777459386628588,0.0003488925552082425,-0.01401828083362227,-0.013512288433123285,-0.0010034382532027244,-0.0010034381488390612,-0.0010034381424971585,-0.001003437635542882,-0.0010034380738357426,0.0005173570723107655,0.0005173571776286353,0.0005173571832316519,0.0005173576914728967,0.000517357252204568,-0.009027849356061126,-0.009027849251755055,-0.009027849246417996,-0.0090278487427838,-0.009027849178118014,,-0.0037019582763761455,-0.0910272929079763,0.0,0.0,-2.9983633697252627e-13,-0.6299085157265385,0.012826431215647688,-3.000596193751428e-13,0.009319556028423132,0.004486388598953162,0.02646558580390001,5.004823403786806e-05,0.0021091485398556614,0.006943727552660297,0.009154234658391948,0.027160271388618755,0.0061648053851191195,0.0016896477775898806,0.02068187828750198
9,0.0,0.006318019888457196,0.001261885596437719,-0.00669738055615197,-0.006614804850434636,-0.00970455859544388,0.004243457728183831,-0.003738595839367489,-0.0008584899942318466,-0.0003079871243577342,0.0012534441201946741,-0.0002618606780577783,-0.0073973211595608265,-0.015253301318632204,-0.006724957192210118,0.004608791573771464,-0.0014484298986427926,-0.0018148256052988672,0.00665569766619956,-0.005472850768037074,-0.00015462716748398925,-0.0018778644785404752,-0.009735167269395552,0.0036378147629546804,-0.00897194564445728,-0.003387708644162056,0.0056459196514119835,0.0036055500588475556,-0.005404311014754853,0.0003478235999238093,-0.008741386217453422,-0.009071947015254253,-0.010757750671624508,0.0002053461299929397,0.00018318531834029059,-0.010655513731239888,0.0002909729141697888,-0.011692767655374707,-0.011269104498041235,-0.0008389523039665285,-0.0008389524417965095,-0.0008389524160315298,-0.0008389519769692659,-0.0008389523143714213,0.00043158166458192665,0.0004315815273293587,0.0004315815524802836,0.0004315819920298906,0.00043158165446141193,-0.007523781081035994,-0.007523781217167243,-0.007523781192334217,-0.0075237807559654585,-0.007523781091235709,,-0.0030823351348739985,-0.07723952865291993,0.0,0.0,-2.9983633697252627e-13,-0.2798937538448587,0.010671274410093207,-1.500298096875714e-13,0.007753248529660579,0.0037427168152026186,0.02199388278550442,4.584744704546051e-05,0.0017627771253704903,0.005777222416624657,0.0076161663557070955,0.02256363935344684,0.005130284005654945,0.0014064011966141994,0.01719113785462931
10,0.0,0.005047292984775788,0.0010118750374438574,-0.005355308848990222,-0.005290631439049323,-0.007767272348236825,0.0033924273554029154,-0.0029891771837962265,-0.0006889719252436398,-0.00024620369997393213,0.0010035081216383966,-0.0002092249063468919,-0.005919835704806817,-0.01221505177043028,-0.005379032995180532,0.0036754443788549083,-0.0011573712290715308,-0.0014502998367307636,0.005319413773219799,-0.004373273924492745,-0.0002012896964270693,-0.00036234530127429704,-0.007789138878410697,0.002912846996466805,-0.007177083681479642,-0.002706934651355545,0.004511346497406343,0.002882174833800506,-0.004320055255814732,0.0002783812753301654,-0.006993878280186953,-0.0072607499338994,-0.008612301519391652,0.00016439336084923941,0.00014664872663319462,-0.00853025522822799,0.00023295329300053016,-0.00936262408690028,-0.009022051885023856,-0.0006733406388399272,-0.000673340735558616,-0.0006733407096846503,-0.0006733403230496009,-0.0006733406111401237,0.00034562210871105764,0.00034562201265580253,0.0003456220378759977,0.00034562242534395317,0.00034562213652282025,-0.006019486855791277,-0.0060194869515051794,-0.006019486926435036,-0.006019486541355797,-0.006019486828494613,,-0.0024638391475719935,0.15811799317191053,0.0,0.0,-2.9983633697252627e-13,-0.4058479579976637,0.008523402946257076,-1.500298096875714e-13,0.0061921340159672026,0.0029979901854681385,0.017545214836539605,4.07205757370582e-05,0.0014150641542504012,0.004614794226380722,0.006083127664609417,0.017992918667842396,0.0040984650440829135,0.0011239089913911658,0.013716035823776227
11,0.0,0.003780912270847265,0.0007608652485379827,-0.004015279934494671,-0.003967812840802827,-0.005829424865448818,0.0025430550848060253,-0.0022410602474131837,-0.0005184989019414986,-0.00018454847231131905,0.000753360939020057,-0.00015675432334928173,-0.004442280744843081,-0.009172462690367011,-0.004034172022232725,0.0027561323858293716,-0.0008671802611838129,-0.0010867799173859027,0.003985944345654265,-0.0032768668650970923,-4.27535892963771e-05,-0.0017847703897603323,-0.0058437559966786935,0.0021868008189118745,-0.005383425176530175,-0.0020281487855384967,0.0033800848114897363,0.0021603235095664624,-0.0032380796574638278,0.00020892082951334126,-0.005247116469823792,-0.005449080214176345,-0.006465194274160294,0.00012340894157730244,0.00011008560524684041,-0.006403453554178433,0.00017488454360407805,-0.00702979636016521,-0.006773100617949232,-0.000506769812681527,-0.0005067701053991606,-0.0005067700957546919,-0.0005067700400581077,-0.0005067700170899545,0.0002595398715625399,0.0002595395791950755,0.000259539588988014,0.0002595396443886664,0.00025953966752327774,-0.004515840498727165,-0.0045158407898109746,-0.004515840780428155,-0.004515840724701137,-0.00451584070225447,,-0.0018467036445213476,0.031199435445406896,0.0,0.0,-2.9983633697252627e-13,-0.4689530934156825,0.006383486104950019,-1.500298096875714e-13,0.0046371877557745515,0.002251513216912937,0.013124746025902446,3.320618774867611e-05,0.0010647677272050621,0.0034563485924420335,0.004555890488050938,0.013454918552804814,0.00307015340475503,0.000842166492207148,0.010261961283255986
12,0.0,0.002516435334835677,0.000508455769431666,-0.002674708108766978,-0.0026438701716666574,-0.003887290936937492,0.0016937583378423943,-0.0014928288016852027,-0.0003468170734886826,-0.0001229062671130046,0.0005025237947080451,-0.00010434750023990611,-0.0029618156034656347,-0.006119718393318353,-0.002688265192028735,0.0018316680299871435,-0.0005773016023241758,-0.0007235735061629596,0.002654079569841585,-0.002181363937815129,-5.956007681095609e-05,-0.0007297280023595357,-0.0038952381461116762,0.0014589535441659031,-0.0035877776760719505,-0.0013501369078324564,0.0022501206412435274,0.001438709007457747,-0.0021564671781968,0.00013931001266904376,-0.003497739495133467,-0.003633488510014608,-0.004312303217687532,8.231411979253625e-05,7.342568668726931e-05,-0.004271021383228625,0.00011665552149499808,-0.004689801918421491,-0.004517946244334891,-0.0003389887672275121,-0.0003389891096713191,-0.0003389891193509943,-0.00033898914129893115,-0.00033898904977263896,0.0001731818562013016,0.00017318151430609246,0.00017318150455563255,0.0001731814820649701,0.00017318157378917634,-0.0030100043033030456,-0.003010004644401088,-0.003010004654115196,-0.0030100046763066315,-0.0030100045851343513,,-0.0012297219612337504,-0.05442817449353105,0.0,0.0,-2.9983633697252627e-13,-0.5435419200240129,0.004247550141330445,-1.500298096875714e-13,0.003085438784045457,0.0015022358423641738,0.008722919471169368,2.3664384877899776e-05,0.0007116184035142876,0.002299855545376826,0.0030315487504220585,0.008939241472968346,0.002043415084640512,0.0005606786998418031,0.006821864755624746
13,0.0,0.001256196532556698,0.00025477851536790297,-0.0013365743724667427,-0.0013214241405292667,-0.0019445862738331368,0.0008461919156579212,-0.000745933006961668,-0.00017392396243519717,-6.139913742716067e-05,0.0002514603322928418,-5.210627582496444e-05,-0.0014814451684061253,-0.003062827777134064,-0.0013436940043274233,0.0009158134774728217,-0.0002882921112027907,-0.0003613821344593507,0.0013254742182503547,-0.0010893327506453546,-3.1821822315463294e-05,-0.0003252998620095323,-0.0019477240022740116,0.0007302275429054802,-0.0017935481559125943,-0.0006741492424028392,0.001123524955784512,0.000718702424933594,-0.0010772558736416116,6.968289740816864e-05,-0.001749105175870595,-0.0018174717108076974,-0.0021577268326689607,4.118712814461981e-05,3.673879220640796e-05,-0.0021370200842629693,5.837387128354825e-05,-0.0023470692469018373,-0.002260757155479468,-0.00017001052976847383,-0.00017001049698288102,-0.00017001050368413613,-0.00017001040925282359,-0.0001700104832005948,8.666919848103358e-05,8.666923151416277e-05,8.666922483495967e-05,8.666931854930613e-05,8.6669244581051e-05,-0.0015049614380569151,-0.0015049614050536796,-0.0015049614119745582,-0.0015049613181857477,-0.0015049613922834527,,-0.0006141885522099263,-0.10733865676515153,0.0,0.0,-2.9983633697252627e-13,-0.4982871381377742,0.0021200089114189013,-1.500298096875714e-13,0.0015398234981531232,0.000752075077627158,0.004347803726792763,1.2480197157953452e-05,0.00035666457846208035,0.0011477586390066501,0.0015128831965246215,0.004453597861715329,0.0010199675721666787,0.000279785211909665,0.0034004257986432443
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slope,0.0,-0.028391999271042592,0.024075775063218872,0.02592013572576686,0.02539391057625314,0.025229712172239523,-0.003500520044204799,0.02450628569469377,-0.3468190679086025,0.0021719600879828655,0.010745826489500279,0.0033061244983274935,0.007876234670301359,0.012519052675032819,0.02268105159851628,-1.138374961794959,0.01716989732610233,0.020684938161964848,0.008903453755872641,0.025669151342363937,0.022403013717522485,-0.16978591000641852,0.026110981531629756,0.023101171640788162,0.02612439209247958,0.025363499560057227,-0.042270481618925,-0.017113137876320055,0.025650666771035512,-0.0009496411552579195,0.025433612907428692,0.024768573050828826,0.024467348314446073,-0.00046703771458657997,-0.00042348541187159827,0.02463327663948293,0.0024794919926384032,0.003256565658855703,-0.09661048281046458,-0.13147447504365634,-0.1314744754194548,-0.13147447542672802,-0.13147447543212196,-0.1314744755009541,0.0193823504849136,0.019382350390995732,0.01938235040046172,0.019382350406637574,0.01938235037580858,0.025752351000647513,0.025752350918125402,0.025752350920111685,0.02575235093459968,0.025752350905598326,,0.014990899825078173,0.09002551139516574,0.0,0.0,-2.1416881212323306e-14,0.07006810892493728,0.014912882399845185,-2.3024319225765893e-14,-0.14239026889170167,0.025393901987685513,-0.006762811070342348,0.02578125321502323,0.02558254501532605,0.022859724906775493,0.021272319179326357,-1.315092304583944,0.009426678220568824,0.02467485369364404,-0.055962423928188725
intercept,0.0,0.27992669851486757,-0.23170250742384207,-0.2564058800754449,-0.2511908353783042,-0.2522669625744463,0.037505327161028876,-0.24013026347869576,3.351898767627458,-0.021262064590540183,-0.102795507147604,-0.032186022271887486,-0.08270872007295627,-0.13431546133786335,-0.22502399532687395,11.008300494183418,-0.16723016483019365,-0.2015257701317629,-0.0803054075987762,-0.2528858833388809,-0.21668493257597976,1.6397514023192565,-0.260822587358426,-0.2201862828415207,-0.26030793680579417,-0.24812181431173852,0.4135166242623769,0.1685548904394668,-0.25264479969432174,0.009480123169558393,-0.25341158148524245,-0.24726089634678652,-0.24580147446167022,0.004691908473272073,0.00425178712113107,-0.24731772436379254,-0.023717522961675282,-0.041565890075106554,0.924184248273297,1.270247741766136,1.2702477454631673,1.270247745540113,1.2702477457776569,1.2702477463365247,-0.18699783752841043,-0.18699783655548863,-0.18699783664063901,-0.18699783651473412,-0.18699783632342415,-0.2554443240253304,-0.2554443231645993,-0.25544432317764304,-0.2554443231335046,-0.25544432295931097,,-0.14758403201221384,-0.9962303536724375,0.0,0.0,-9.994544565750877e-15,-1.1594320828423943,-0.1352871968142743,1.1110608670449056e-13,1.3831590597189587,-0.24264967468870519,0.0840744153422989,-0.2495894183876165,-0.24618877813865458,-0.21639534525216575,-0.199026845350915,12.732166835224922,-0.08667896444181711,-0.23729903630053273,0.5558940435196775
rvalue,0.0,-0.44854390470624694,0.4319575211247347,0.4534522042703402,0.451195771036642,0.460425216596805,-0.5291784545322967,0.4436771972842289,-0.43300661098354526,0.4427977426724884,0.4253637386787372,0.4384709778426987,0.5380059080304186,0.5475705026183202,0.4519453947513772,-0.43330009045078555,0.4388309663893457,0.43905543044623846,0.38710591636799313,0.44845822342518116,0.4325708797347372,-0.4325489332550705,0.45980586933279877,0.4232427164336791,0.45818333870899913,0.4425938312765131,-0.44259384562926957,-0.44824658782685156,0.44824657289458264,-0.4589240060774896,0.45743596325373564,0.458924006079349,0.46448269011447135,-0.46448269011143456,-0.4639524500136077,0.4639524500165271,0.42531778712174406,0.8352299631159359,-0.42536373867864236,-0.43297842530016534,-0.43297842560030597,-0.4329784255941198,-0.4329784255583334,-0.43297842565274797,0.43191956989668817,0.4319195678632295,0.43191956790615676,0.4319195681470702,0.4319195675081102,0.45376029700560605,0.4537602954369677,0.45376029546971836,0.45376029565334713,0.4537602951629368,,0.4477049392013125,0.860166609907687,0.0,0.0,-0.6185895741317419,0.85173761521346,0.4111797323351359,-0.7036461517330143,-0.436751975349161,0.43965619568737174,-0.6429836711561022,0.4497417203783879,0.44517622724746825,0.43497050074704446,0.4095456712331665,-0.43419581557737225,0.3984442161171319,0.42887950183546864,-0.4550155730029882
pvalue,1.0,0.09354652737221456,0.10786091911836165,0.08958072654538397,0.09138882480900032,0.08415321117625005,0.04251540523722893,0.09759924031082524,0.10691302596374448,0.09834452917955779,0.1139526589750385,0.10206938392624043,0.03857014252875243,0.03461067826781373,0.0907853133076903,0.10664889689261395,0.10175577160209374,0.10156056586624072,0.15401707940821463,0.09361683513666717,0.10730601945893864,0.1073258399050628,0.08462558598362484,0.1159617230180352,0.08587201051124575,0.0985179010375108,0.09851788882681178,0.09379065711531781,0.09379066938760194,0.08530142655558573,0.08645050129869176,0.08530142655415669,0.08110483798982189,0.08110483799207349,0.08149866747004506,0.08149866746787296,0.1139959281254606,0.00010633328268166252,0.11395265897512784,0.10693841677561376,0.10693841650521255,0.10693841651078571,0.10693841654302624,0.1069384164579667,0.10789531863105577,0.10789532047441483,0.10789532043550072,0.10789532021710915,0.1078953207963355,0.08933582678355238,0.08933582802924044,0.08933582800323243,0.08933582785740912,0.08933582824685403,,0.09423656253214326,3.898456255479763e-05,1.0,1.0,0.013957711101968208,5.583065772129477e-05,0.12785375286869374,0.0034194187676259234,0.10357624884866108,0.10103939732532695,0.009720940287329324,0.09256752287196371,0.0963380464039344,0.10515418661651009,0.1295262816759682,0.10584556067433008,0.14128487401794498,0.11067571102309849,0.08834291398053704
stderr,0.0,0.015690639407557067,0.013941934406616617,0.01413020715225284,0.013930433006294023,0.01349108886172033,0.001556739655416099,0.013728945669418501,0.20023954883383277,0.0012197867925765203,0.006341135743794734,0.0018795043290144224,0.003422607826581291,0.005305916651141688,0.012416311584746004,0.656704534335853,0.009751030002152015,0.011739833376661476,0.0058817227465362545,0.014189269452208683,0.012950643791562267,0.0981552800317488,0.013986192265017497,0.013715412268585483,0.014056185125554893,0.014252467640577903,0.02375297800299462,0.009465308028215649,0.01418743155074167,0.0005099088430092224,0.013712805568052395,0.013299459861596372,0.012938221226922586,0.00024696739487377014,0.00022426342419403327,0.013044942785231117,0.001463346652662731,0.0005946568991363541,0.057010057474263166,0.07591421935295484,0.07591421950517802,0.07591421951071248,0.07591421952154909,0.07591421954092015,0.01122525229610789,0.011225252306683626,0.011225252310794328,0.011225252306673985,0.011225252309233914,0.014026740003528179,0.014026740019643038,0.014026740019450031,0.014026740020193152,0.014026740023487095,,0.008304046032061153,0.014804464622677488,0.0,0.0,7.544780427342811e-15,0.011954959466215626,0.009169396607438382,6.448456712869048e-15,0.08134193440308934,0.014388027117277775,0.0022341704240347194,0.014200308613626011,0.014271776676082157,0.013124917034224505,0.01314236595521972,0.756721772191621,0.0060183855569605335,0.014414822442583285,0.030375570763280662
